article_id,infraction_desc,type_article,categorie_vehicule,amende_fixe,points_retrait,mots_cles,has_sanction,has_amende,has_points
18,المادة 18 بعده، ءو ءنه غير قادر على السياقة. تحتفظ اءلدارة بنسخة من شهادة ءلفحص الطبي لتحيين المعطيات المتعلقة برخصة السياقة في الجذاذية الوطنية لرخصة السياقة وتعيد الشهادة اءلصلية ءلى المعني باءلمر قصد اءلدالا بها ءلعوان,autre,non_precise,,,permis,False,False,False
18,المادة 18 يوجه الطبيب الذي قام بءلفحص الطبي، طبقا ءلحكام,autre,non_precise,,,aucun,False,False,False
15,المادة 15 ءعاله، ءلى اءلدارة المختصة، نسخة من الشهادة التي سلمها للمعني باءلمر والتي تثبت : 1 ءما ءنه يمكن لصاحب رخصة السياقة االستمرار في استعمال رخصته، شريطة الخضوع، ءن,autre,non_precise,,,permis,False,False,False
19,المادة 19 ءذا نازع صاحب رخصة السياقة ءو اءلدارة في استنتاجات الطبيب المضمنة في الشهادة الطبية، يخضع المعني باءلمر، بطلب منه ءو بطلب من اءلدارة، لفحص طبي مضاد تجريه لجنة طبية لالستءناف,autre,non_precise,,,permis,False,False,False
21,المادة 21 بعده. ال يجوز للطبيب الذي قام بءجراا ءلفحص الطبي موضوع االستءناف ءن يكون عضوا في اللجنة الطبية لالستءناف.,autre,non_precise,,,aucun,False,False,False
20,المادة 20 ءذا نازع صاحب رخصة السياقة ءو اءلدارة في استنتاجات اللجنة الطبية لالستءناف، يخضع المعني باءلمر، بطلب منه ءو بطلب من اءلدارة، لفحص طبي مضاد يجريه طبيب خبير يعين بءمر من رءيس,autre,non_precise,,,permis,False,False,False
148,المادة 148 من القانون المتعلق بالمسطرة المدنية .,autre,non_precise,,,aucun,False,False,False
21,المادة 21 تعتمد اءلدارة اءلطباا واءلطباا ءعضاا اللجنة الطبية لالستءناف المشار ءليهم في المادتين 16 و19 ءعاله، المءهلين لتسليم الشهادات الطبية المنصوص عليها في هذا ءلفرع، ءذا ءثبتوا توفرهم على معارف,autre,non_precise,,,permis,False,False,False
22,المادة 22 يخصص رصيد من النقط لرخصة السياقة. ويخفض هذا الرصيد بقوة القانون ءذا ءدين صاحب الرخصة من ءجل مخءلفة تستوجب هذا التخفيض ءو ءدى الغرامة التصالحية والجزافية في الحاالت,sanction,non_precise,,,permis,True,False,False
23,المادة 23 يحصل المترشح الذي اجتاز بنجاح االختبارات المشار ءليها في,autre,non_precise,,,aucun,False,False,False
10,المادة 10 ءعاله، على رخصة السياقة صالحة للصنف ءو اءلصناف المعنية بهذه االختبارات. يخضع كل مترشح حصل على رخصة السياقة من اءلصناف ء 1 1 و ء و ب لفترة,autre,non_precise,,,"permis, alcootest",False,False,False
24,المادة 24 تلغى الرخصة بقوة القانون ابتداا من تاريخ فقدان ءءخر نقطة من الرصيد المخصص لرخصة السياقة خالل ءلفترة االختبارية.,autre,non_precise,,,"permis, alcootest",False,False,False
25,المادة 25,autre,non_precise,,,aucun,False,False,False
26,المادة 26 يجب على صاحب رخصة السياقة، الذي فقد خالل ءلفترة االختبارية ءكثر من ثلثي النقط المخصصة للرخصة المذكورة، ءن يخضع لدورة في التربية على السالمة الطرقية تحدد كيفياتها من قبل اءلدارة.,obligation,non_precise,,,permis,False,False,False
27,المادة 27 عند انتهاا ءلفترة االختبارية المنصوص عليها في,autre,non_precise,,,aucun,False,False,False
23,المادة 23 ءعاله،ومع مراعاة ءحكام,autre,non_precise,,,aucun,False,False,False
26,المادة 26 ءعاله، يخصص لرخصة السياقة الرصيد اءلق ضى المحدد في ثالثين 30 نقطة. ءلفرع 4,sanction,non_precise,,,permis,True,False,False
28,المادة 28 يثبت ارتكاب مخءلفة مءدية ءلى خصم عدد من النقط من رصيد رخصة السياقة، بءداا غرامة تصالحية وجزافية ءو بمقرر قضاءي باءلدانة حاز قوة ال ضيا المق ضي به.,sanction,non_precise,,,permis,True,False,False
29,المادة 29 يحدد عدد النقط الواجب خصمها تبعا لجسامة المخءلفة المرتكبة.,autre,non_precise,,,aucun,False,False,False
30,المادة 30 يتم ءخبار المعني باءلمر، عند ءشعاره بءن ءحدى المخءلفات المءدية ءلى خصم النقط قد سجلت عليه، بءنه يمكن ءن يتعرض لخصم للنقط وبوجود معالجة ءءلية لهذه النقط.,sanction,non_precise,,,permis,True,False,False
31,المادة 31 ءذا ثبت ارتكاب مخءلفة بءداا غرامة تصالحية وجزافية بين يدي العون محرر المحضر وترتب على ذلك فقدان مجموع النقط، يقوم العون محرر المحضر باالحتفاظ برخصة سياقة المعني باءلمر مقابل,sanction,non_precise,,,permis,True,False,False
32,المادة 32 في ما عدا الحالة المنصوص عليها في,autre,non_precise,,,aucun,False,False,False
31,المادة 31 ءعاله وفي حالة فقدانه مجموع النقط ، يتلقى المعني باءلمر من اءلدارة، بواسطة رسالة مضمونة مع ءشعار باالستالم، موجهة ءليه بالعنوان المصرح به لءلدارة، تذكيرا بالمخءلفات التي سبق ارتكابها وبالمخءلفة اءلخيرة التي ترتب عليها خصم مجموع النقط,sanction,non_precise,,,permis,True,False,False
33,المادة 33 يجوز لصاحب رخصة السياقة، قبل انصرام ءلفترة االختبارية، ءن يسترجع ءربع 4 نقط وذلك دون تجاوز الحد اءلق ضى المخصص لرخصته، ءذا خضع لدورة في التربية على السالمة الطرقية.,autre,non_precise,,,"permis, depassement",False,False,False
34,المادة 34 ال يجوز للحاصل على رخصة السياقة، الذي فقد مجموع النقط بعد ءلفترة االختبارية، التقدم من جديد الجتياز امتحان الحصول على رخصة السياقة، ءال بعد انصرام ءجل ستة 6 ءشهر ابتداا من,sanction,non_precise,,,permis,True,False,False
35,المادة 35 ءذا لم يرتكب صاحب رخصة السياقة مخءلفة جديدة معاقبا عليها بخصم النقط، داخل ءجل ثالث 3 سنوات من التاريخ الذي حاز فيه ءءخر مقرر قضاءي باءلدانة قوة ال ضيا المق ضي به ءو من,sanction,non_precise,,,permis,True,False,False
27,المادة 27 ءعاله. استثناا من ءحكام ءلفقرة اءلولى ءعاله، يجوز لصاحب رخصة السياقة، بعد ءلفترة االختبارية وقبل انصرام اءلجل المحدد في ءلفقرة اءلولى ءعاله، ءن يسترجع مرة وءحدة ءربع 4 نقط ءذا خضع,autre,non_precise,,,permis,False,False,False
34,المادة 34 ءعاله، وذلك دون تجاوز الحد اءلق ضى للرصيد المخصص لرخصة السياقة. غير ءنه، ومع مراعاة ءحكام ءلفقرة اءلولى ءعاله:,sanction,non_precise,,,"permis, depassement",True,False,False
36,المادة 36 يمكن ءن تحرر رخصة السياقة في حالم يكون قابال ءلن تسجل عليه في شكل ءلكتروني المعلومات التي تحتوي عليها الرخصة.,autre,non_precise,,,permis,False,False,False
37,المادة 37 يجب ءن يتضمن الحالم المحررة فيه رخصة السياقة ، على الخصوص ما يلي : البيانات المتعلقة بهوية صاحب رخصة السياقة ؛,obligation,non_precise,,,permis,False,False,False
38,المادة 38 تحدد مدة صالحية الحالم المحررة فيه رخصة السياقة في عشر سنوات. وتحتسب هذه المدة، بالنسبة للتجديد اءلول، ابتداا من تاريخ تسليم رخصة السياقة على الحالم,obligation,non_precise,,,permis,False,False,False
14,المادة 14 من هذا القانون ؛ يجب تجديد الحالم المذكور على ءبعد تقدير، داخل الثالثة ءشهر الموالية النصرام السنة العاشرة على تاريخ تسليم رخصة السياقة.,obligation,non_precise,,,permis,False,False,False
39,المادة 39 يجب على ءصحاب رخصة السياقة ءن يقوموا بتغيير الحالم المحررة فيه، ءذا قررت اءلدارة ذلك التغيير، خاصة اعتبارا للتطور التكنولوجي.,obligation,non_precise,,,permis,False,False,False
40,المادة 40 ال يجوز ءلي كان سياقة المركبات المبينة بعده، بصفة مهنية، ءن لم يكن حاصال على بطاقة ساءق منهي :,obligation,poids_lourd,500.0,3.0,"permis, depassement",False,True,True
41,المادة 41 يجب على كل حاصل على بطاقة ساءق منهي ءن يتابع، كل خمس سنوات، ءلجل تجديد هذه البطاقة، تكوينا مستمرا خالل السنة اءلخيرة من هذه ءلفترة.,obligation,non_precise,,,aucun,False,False,False
42,المادة 42 يجب ءن ينصب التكوين التءهيلي والتكوين المستمر المشار ءليهما في المادتين 40 و41 ءعاله على : االستعمال الرشيد للمركبة حسب خصاءصها التقنية ؛,obligation,non_precise,,,aucun,False,False,False
43,المادة 43 يلقن التكوين التءهيلي اءلولي والتكوين المستمر، المشار ءليهما في هذا الباب، بمءسسات تعتمدها اءلدارة لهذا الغرض.,autre,non_precise,,,aucun,False,False,False
44,المادة 44 يراد في مفهوم هذا القانون بما يلي : مركبة : كل وسيلة نقل لها عجلتان على اءلقل تسير على الطريق العمومية بواسطة قوتها اءءللية,definition,"moto, voiture_legere, poids_lourd",1000.0,,depassement,False,True,False
45,المادة 45 يجب صنع المركبات ءو مجموعة المركبات وتسويقها واستغاللها واستعمالها وصيانتها وعند االقتضاا، ءصالحها، على نحو يءمن سالمة مستعملي الطريق العمومية ويقلل من استهالك الطاقة,obligation,non_precise,,,aucun,False,False,False
46,المادة 46 يجب ءن تءمن قواعد صنع وتجهيز المركبات وتهيءتها، حسب االستعمال المخصصة له، والتي تضعها اءلدارة، ضمانات صالبة وسالمة كافية تمكن الساءق من التحكم في مركبته ومن التقليص,obligation,non_precise,,,aucun,False,False,False
47,المادة 47 تحدد قواعد صنع وتجهيز وتهيءة المركبات الخصاءص التقنية ءو المعايير المتعلقة على الخصوص بما يلي :,autre,non_precise,,,"signalisation, feux, vitesse",False,False,False
48,المادة 48 يجب ءن تجهز كل مركبة وكل مقطورة بءجهزة السالمة ولوازمها. تحدد اءلدارة ءجهزة السالمة ولوازمها والقواعد التي تخضع لها.,obligation,non_precise,,,aucun,False,False,False
49,المادة 49 تقوم اءلدارة، قصد التءكد من ءن المركبة ذات محرك ءو مجموعة المركبات ءو الدراجة النارية يمكن ءن تقبل للسير على الطريق العمومية مع التقيد بءحكام المواد 46 و47 و48 ءعاله، بالمصادقة على,obligation,"moto, poids_lourd",750.0,,depassement,False,True,False
50,المادة 50 يمنع استخدام واستغالل كل مركبة على الطريق العمومية ال تكون خصاءصها التقنية مطابقة للقواعد المقررة تطبيقا للمواد 46 و47 و48 ءعاله ءلى حين مطابقتها لتلك القواعد.,obligation,poids_lourd,750.0,,depassement,False,True,False
51,المادة 51 تخضع كل مركبة ءدخلت عليها، بعد المصادقة عليها، ءحدى التغييرات المحددة من قبل اءلدارة ءلى مصادقة جديدة.,autre,non_precise,,,aucun,False,False,False
52,المادة 52 يمكن لءلعوان ءو للهيءات المءهلين قانونا من قبل اءلدارة، القيام بءخذ عينات من المركبات ءو من عناصر ءو ءجهزة المركبات التي سبقت المصادقة عليها، كما هو منصوص عليه في هذا القانون,obligation,non_precise,,,aucun,False,False,False
53,المادة 53 يجب على كل مالك سيارة ءو دراجة نارية ءو دراجة ثالثية العجالت بمحرك ءو دراجة رباعية العجالت ثقيلة بمحرك، ءن يقوم بتسجيلها قبل الشروع في استخدامها ءلول مرة . وتسلم له شهادة,obligation,"moto, voiture_legere, poids_lourd",750.0,,depassement,False,True,False
54,المادة 54 تثبت شهادة التسجيل، مع مراعاة صحة تصريح المالك، مطابقة المركبة لخصاءص المصادقة. تتضمن شهادة التسجيل خاصة البيانات التالية :,autre,non_precise,,,aucun,False,False,False
55,المادة 55 تخضع ءيضا للتسجيل، ءذا كانت تسير على الطريق العمومية، المركبات ءلفالحية ذات محرك والمركبات الغابوية ذات محرك وءريبات اءلشغال العمومية.,autre,poids_lourd,,,depassement,False,False,False
56,المادة 56 تخضع المركبات التي تملكها الدولة ءو الجماعات الترابية 1 لتسجيل خاص تحدده اءلدارة. 1 حلت عبارة الجماعات الترابية محل عبارة الجماعات المحلية بموجب ءلفصل 135 من الدستور.,autre,non_precise,,,aucun,False,False,False
57,المادة 57 يمكن ءن تحرر شهادة تسجيل المركبة في حالم يكون قابال ءلن تسجل عليه في شكل ءلكتروني المعلومات التي تحتوي عليها الشهادة والبيانات المتعلقة بالمراقبة التقنية.,obligation,non_precise,,,aucun,False,False,False
58,المادة 58 تحدد مدة صالحية الحالم المحررة فيه شهادة التسجيل في عشر 10 سنوات. تحتسب هذه المدة بالنسبة للتجديد اءلول ابتداا من تاريخ ءعداد الحالم المحررة عليه شهادة,obligation,non_precise,,,aucun,False,False,False
59,المادة 59 يجب على كل من تملك مركبة، في حالة تغيير مالكها ءو شراا مركبة جديدة ءو مركبة سبق تسجيلها بالمغرب، القيام، داخل ءجل ال يتعدى ثالثين 30 يوما من تاريخ المعالمة، بءيداع ملف التسجيل ءو,obligation,non_precise,,,aucun,False,False,False
40,المادة 40 ءعاله. يجب على كل من تملك مركبة، في حالة تغيير المالك، ءن يسلم شهادة التسجيل ءلى اءلدارة ءلعداد شهادة تسجيل جديدة وتسليمها ءلى المالك الجديد، داخل ءجل ال يتعدى ثالثة ءشهر من تاريخ ءيداع,obligation,non_precise,,,aucun,False,False,False
60,المادة 60 تطبق ءحكام,autre,non_precise,,,aucun,False,False,False
59,المادة 59 ءعاله ءيضا على كل شخص يصبح مالكا ملركبة خاضعة للتسجيل، على ءثر ءرث ءو هبة ءو قسمة ءو تصفية قضاءية ءو ممارسة حق استرداد ءو تخلي عن ملكية ءو بيع قضاءي ءو بيع بالمزاد العلني.,autre,non_precise,,,aucun,False,False,False
59,المادة 59 المذكورة يرفع ءلى 90 يوما.,autre,non_precise,,,aucun,False,False,False
61,المادة 61 يجب ءن تكون كل مركبة مسجلة مزودة بصفاءح تسجيل تحدد اءلدارة خصاءصها وشروط تثبيتها على المركبة .,obligation,non_precise,,,aucun,False,False,False
61,المادة 61 1 ال يمكن صياغة صفاءح التسجيل المشار ءليها في,autre,non_precise,,,aucun,False,False,False
61,المادة 61 ءعاله ءال من قبل اءلشخاص المعتمدين من قبل اءلدارة وفق الشروط المحددة بنص تنظيمي.,autre,non_precise,,,aucun,False,False,False
62,المادة 62 يتم سحب كل مركبة خاضعة للتسجيل من السير بصفة نهاءية بعد اءلدالا بتصريح بذلك وفق المسطرة وداخل اءلجل المحددين من لدن اءلدارة .,autre,non_precise,,,aucun,False,False,False
63,المادة 63 يجب ءن تكون شهادة التسجيل ءو الوثيقة التي تحل محلها موجودة على متن المركبة ءثناا سيرها على الطريق العمومية.,definition,non_precise,,,aucun,False,False,False
64,المادة 64 ال تقبل الدراجات والدراجات ثالثية العجالت والدراجات رباعية العجالت للسير على الطريق العمومية ءال ءذا كان مصادقا عليها من قبل اءلدارة، بعد مراقبة خصاءصها التقنية وال سيما منها :,autre,non_precise,,,signalisation,False,False,False
65,المادة 65 يجب على كل من تملك دراجة بمحرك ءو دراجة ثالثية العجالت بمحرك ءو دراجة رباعية العجالت بمحرك، غير تلك المشار ءليها في,obligation,moto,,,aucun,False,False,False
53,المادة 53 ءعاله، ءن يكون متوفرا على سند للملكية يحدد على الخصوص، هويته وعنوانه. ويجب ءن يكون لكل مركبة من المركبات المذكورة رقم ترتيبي يضمن بسند الملكية السءلف الذكر.,obligation,non_precise,,,aucun,False,False,False
66,المادة 66 تخضع جميع المركبات الخاضعة للتسجيل، ءو لسند الملكية ملراقبة تقنية دورية. تخضع ءيضا للمراقبة التقنية جميع المركبات الخاضعة للتسجيل :,autre,non_precise,,,aucun,False,False,False
67,المادة 67 المراقبة التقنية هي العملية التي تهدف ءلى التحقق من ءن المركبة الخاضعة لهذه المراقبة مطابقة لتشخيصها المحدد بموجب هذا القانون والنصوص الصادرة لتطبيقه، وءنها في حالة جيدة للسي ر,obligation,transport_commun,,,aucun,False,False,False
68,المادة 68 يترتب على ءجراا كل نوع من ءنواع المراقبة التقنية تسليم وثيقة تثبت هذه المراقبة. يجب لزوما ءن توجد الوثيقة المذكورة على متن المركبة، ءثناا سيرها على الطريق العمومية.,obligation,non_precise,,,aucun,False,False,False
69,المادة 69 يمكن ءن تءمر اءلدارة بءجراا فحوص تقنية مضادة ملركبة سبق ءن كانت موضوع مراقبة تقنية، بناا على طلب من هيءات اءلفتحاص والمراقبة المءهلة لهذا الغرض من قبل اءلدارة ءو بناا على طلب,autre,non_precise,,,aucun,False,False,False
70,المادة 70 تعتبر مصابة بءضرار خطيرة كل مركبة خاضعة للتسجيل تعرضت، على ءثر حادثة، العوجاج داءم ءضر ببنيتها الحالمة ءو ببنية تجميعها كما حددتها الهندسة اءلصلية للمركبة المقررة من قبل صانع السيارة.,autre,voiture_legere,,,aucun,False,False,False
71,المادة 71 ءذا لم تعد المركبة صالحة للسير ءو ءصبحت تشكل خطرا على السالمة الطرقية، بسبب خطورة اءلضرار ءلالحقة بها على ءثر حادثة، وجب توقيفها وفق الشروط المنصوص عليها في المادتين 102,autre,non_precise,,,aucun,False,False,False
72,المادة 72 يجب على مالك المركبة ءو ساءقها ءو حاءزها ءخبار اءلدارة في الحال بءصابة مركبة بءضرار خطيرة، ءذا لم يبلغ ذلك ءلى علم المصالح المكلفة بمعاينة الحوادث.,obligation,non_precise,,,aucun,False,False,False
73,المادة 73 يتوقف كل استخدام جديد ملركبة خاضعة للتسجيل ءصيبت بءضرار خطيرة، على ما يلي: 1 اءلدالا بتقرير خبرة يثبت ءن اءلصالحات التي تم القيام بها ال تخل بسالمة مستعملي الطريق العمومية ؛,autre,non_precise,,,"arret, stationnement",False,False,False
74,المادة 74 يجب على مالك كل مركبة خاضعة للتسجيل ءصبحت غير قابلة لءلصالح تقنيا على ءثر حادثة، ءن يخبر اءلدارة فورا بذلك.,obligation,non_precise,,,aucun,False,False,False
75,المادة 75 ءذا ءعطى مالك مركبة خاضعة للتسجيل موافقته للمءمن قصد تفويت مركبته المصرح بعدم صالحيتها اقتصاديا، نظرا لقيمتها التجارية التي تقل عن التكلفة المقدرة لءلصالحات الناتجة عن,obligation,non_precise,,,aucun,False,False,False
76,المادة 76 يجب على المشتري، ءذا تم تطبيقا للمادة 75 ءعاله تفويت المركبة قصد ءصالحها، ءن يوجه داخل ءجل ثالثين 30 يوما، تصريحا بالشراا ءلى اءلدارة التي تسلمه وصال بذلك.,obligation,non_precise,,,aucun,False,False,False
77,المادة 77 يجب في الحاالت المشار ءليها في ءلفقرة 2 من,obligation,non_precise,,,aucun,False,False,False
75,المادة 75 ءعاله، ءن تخضع المركبة المصرح بعدم صالحيتها اقتصاديا من قبل الخبراا الذين انتدبهم المءمنون على ءثر حادثة، ءلى مراقبة تقنية قبل ءي استخدام جديد لها.,autre,non_precise,,,aucun,False,False,False
78,المادة 78 يقوم بءعداد تقارير الخبرة المذكورة في المواد 71 و73 و74 و75 ءعاله، خبير في السيارات، يتوفر على ءهلية لتسليم الشهادات التي تثبت ءن المركبات غير قابلة لءلصالح ءو مصابة بءضرار خطيرة،,autre,non_precise,,,aucun,False,False,False
79,المادة 79 تضع اءلدارة القاءمة الوطنية للخبراا الذين تتوفر فيهم اءلهلية المشار ءليها في,autre,non_precise,,,aucun,False,False,False
78,المادة 78 ءعاله. الباب الخامس المركبات المدرجة في عداد التحف,autre,non_precise,,,aucun,False,False,False
80,المادة 80 يجوز ملالك كل مركبة خاضعة للتسجيل، يتوفر فيها ءحد الشروط المشار ءليها في,autre,non_precise,,,aucun,False,False,False
81,المادة 81 بعده، ءن يطلب ءدراج مركبته في عداد التحف. يجب ءن تقيد في شهادة التسجيل كل مركبة مدرجة في عداد التحف عبارة مركبة مدرجة في عداد,obligation,non_precise,,,aucun,False,False,False
81,المادة 81 يمكن ءن تدرج في عداد التحف : 1 كل مركبة ذات محرك، مهما كان عمرها، يتوفر فيها ءحد الشروط التالية :,autre,non_precise,,,"arret, depassement, stationnement",False,False,False
82,المادة 82 يجب، ءلجل ءدراج مركبة في عداد التحف، ءن تكون مزودة باءلجهزة المحركة وءدوات التعليق والحصر والرءية واءلنارة وءن تكون صالحة للسير، وتثبت هذه الصالحية بشهادة للمراقبة التقنية.,obligation,non_precise,,,aucun,False,False,False
83,المادة 83 يجب ءال تغادر المركبات المدرجة في عداد التحف منطقة تسجيلها والمناطق المجاورة لها. غير ءنها تخضع لءلدالا بتصريح مسبق ءلى اءلدارة، قصد السير خارج المنطقة المذكورة ءلجل,obligation,non_precise,,,aucun,False,False,False
84,المادة 84 تخضع المركبات المدرجة في عداد التحف لشروط مصادقة وتسجيل خاصة تحددها اءلدارة. تخضع المركبات المذكورة للمراقبة التقنية الدورية وفق شروط خاصة تحددها اءلدارة وللتءمين,autre,non_precise,,,aucun,False,False,False
85,المادة 85 يراد في مفهوم هذا القانون بما يلي : تجمع عمراني : فضاا تجتمع فيه مبان ويشار خصيصا ءلى مداخله ومخارجه ؛,obligation,"moto, voiture_legere",,,"arret, stationnement, signalisation, autoroute, vitesse, nuit",False,False,False
86,المادة 86 تحدد قواعد السير الواجبات التي على مستعملي الطريق العمومية التقيد بها. تحدد هذه القواعد من قبل اءلدارة قصد الحفاظ، في كل مكان وفي كل الظروف، على النظام العام,autre,non_precise,,,aucun,False,False,False
87,المادة 87 يجب ءن تمكن قواعد السير على الطريق العمومية، المبنية على المبادء المحددة ءعاله، من تسهيل سير مستعملي الطريق العمومية وسيولة سير المركبات وسالمة نقل اءلشخاص والممتلكات واستعمال,obligation,transport_commun,,,"arret, stationnement, signalisation, feux, vitesse, alcool, depassement",False,False,False
88,المادة 88 عالوة على قواعد االستعمال العام واالستعمال الخاص للطريق العمومية المشار ءليها في,autre,non_precise,,,aucun,False,False,False
87,المادة 87 ءعاله، تتعلق قواعد السير على الطريق السيار خاصة بما يلي : 1 شروط ولوج الطريق السيار والخروج منه عبر المسالك الموصلة ءليه ؛,autre,voiture_legere,,,"arret, stationnement",False,False,False
89,المادة 89 يمكن للسلطة الحكومية المكلفة بالطرق ءو للسلطات المحلية ءو للجماعات الترابية، كل داخل نطاق اختصاصها، ءن تسن التدابير الداءمة ءو المءقتة ءلالزمة لضمان سهولة ءو سالمة السير ءو لتفادي,autre,non_precise,,,aucun,False,False,False
90,المادة 90 ترجح اءلشارات التي يعطيها اءلعوان المءهلون قانونا لذلك والمنظمون للسير في الطريق العمومية على كل تشوير ءو ءضواا التشوير ءو قواعد السير.,autre,non_precise,,,signalisation,False,False,False
