id,titre,contenu,categorie,sous_type_cancer,stade,ligne,mots_cles,protocole,dosage,effets_secondaires,scenario,reference
CCR-META-001,Cancer colorectal métastatique — 1ère ligne (RAS muté et sauvage),"Le cancer colorectal métastatique (CCRm) nécessite l'évaluation du profil moléculaire complet avant tout traitement : statut RAS (KRAS/NRAS), BRAF V600E, MSI et HER2. La résécabilité des métastases doit être discutée en équipe multidisciplinaire. En 1ère ligne, les protocoles recommandés selon le statut RAS et la résécabilité sont : Pour les métastases résécables ou potentiellement résécables (tous statuts RAS) : FOLFOX ou FOLFIRI ± thérapie ciblée pour une conversion. Pour les métastases jamais résécables avec RAS muté : XELOX/FOLFOX + Bevacizumab. Pour le RAS sauvage : FOLFOX/FOLFIRI + anti-EGFR (Cétuximab ou Panitumumab). Pour les MSI-H/dMMR : Pembrolizumab en monothérapie (KEYNOTE-177).",traitement,colorectal,métastatique,1ère ligne,FOLFOX|FOLFIRI|XELOX|Bevacizumab|Cétuximab|Panitumumab|anti-EGFR|RAS|MSI-H|Pembrolizumab|KEYNOTE-177,XELOX/FOLFOX + Bevacizumab (RAS muté) | FOLFOX/FOLFIRI + Cétuximab (RAS sauvage) | Pembrolizumab (MSI-H),"XELOX + Bevacizumab : Capécitabine 1 g/m² × 2/j J1-J14 + Oxaliplatine 130 mg/m² + Bevacizumab 7,5 mg/kg q21j. FOLFOX + Bevacizumab : Acide folinique 400 mg/m² + 5-FU 400 mg/m² bolus + 5-FU 2400 mg/m² 46h + Oxaliplatine 85 mg/m² + Bevacizumab 5 mg/kg q14j. Cétuximab : 500 mg/m² q14j (bimensuel) OU 400 mg/m² initial puis 250 mg/m² hebdo. Panitumumab : 6 mg/kg q14j. Pembrolizumab (MSI-H) : 200 mg q21j jusqu'à progression.","Bevacizumab : HTA, protéinurie, risque thrombo-embolique. Anti-EGFR : acné-like, hypomagnésémie. 5-FU : mucite, diarrhée","Mohamed, 65 ans, adénocarcinome côlon gauche, métastases hépatiques bilobaires, RAS sauvage, BRAF sauvage, MSS. Multidisciplinaire : non résécable d'emblée. 1ère ligne : FOLFIRI + Cétuximab → réponse partielle à 4 cycles. Réévaluation chirurgicale à 8 cycles : résection R0 hépatique possible. Conversion !","Guide AMFROM 2024, Cancers Digestifs, Section III.A.2, p.83-91"
CCR-META-002,Cancer colorectal métastatique — 2ème ligne et au-delà,"En 2ème ligne de CCRm, les options dépendent du traitement reçu en 1ère ligne et du statut moléculaire. Après FOLFOX : FOLFIRI ± Bevacizumab (continuation du Bevacizumab au-delà de la progression si pas de contre-indication — étude ML18147). Après FOLFIRI : FOLFOX ± Bevacizumab. En 3ème ligne et au-delà : Regorafénib 120-160 mg/j ou Trifluridine/Tipiracil (TAS-102) 70 mg/m²/j sont les standards de grade A. En cas de RAS sauvage n'ayant pas reçu d'anti-EGFR : Cétuximab ou Panitumumab.",traitement,colorectal,métastatique,2ème ligne et au-delà,2ème ligne|Regorafénib|TAS-102|Trifluridine|Bevacizumab|FOLFIRI|FOLFOX|anti-EGFR,2L : FOLFIRI/FOLFOX ± Bevacizumab | 3L : Regorafénib ou TAS-102,"Regorafénib : 120 mg/j J1-J21 q28j, augmenter à 160 mg si bonne tolérance. TAS-102 (Trifluridine/Tipiracil) : 70 mg/m²/j J1-J5, J8-J12 q28j per os. FOLFIRI 2ème ligne : Irinotécan 180 mg/m² + AF 400 mg/m² + 5-FU 400 mg/m² bolus + 5-FU 2400 mg/m² 46h ± Bevacizumab 5 mg/kg q14j. Cétuximab monothérapie : 500 mg/m² q14j (RAS sauvage 3ème ligne).","Regorafénib : HTA, toxicité cutanée palmoplantaire, fatigue. TAS-102 : neutropénie, anémie","Ahmed, 70 ans, CCRm RAS muté, progression après FOLFOX + Bevacizumab (1ère ligne). 2ème ligne : FOLFIRI + Bevacizumab (ML18147 — continuation Bevacizumab). Nouvelle progression → 3ème ligne : Regorafénib 120 mg/j × 3 semaines sur 4. Tolérance acceptable, PA bien contrôlée sous antihypertenseurs.","Guide AMFROM 2024, Cancers Digestifs, Section III.A.2, p.91"
ESTOMAC-001,Cancer de l'estomac localisé — Chimiothérapie péri-opératoire,"La chimiothérapie péri-opératoire est le standard thérapeutique dans les cancers gastriques résécables d'emblée (stades II et plus). Les essais MAGIC (ECF) et FFCD (LV5FU2-Cisplatine) ont démontré un bénéfice en survie globale. Le protocole FLOT (Docétaxel + Oxaliplatine + Leucovorine + 5-FU) a montré sa supériorité au ECF dans un essai de phase III allemand (médiane SG : 50 vs 35 mois) et est désormais le standard en péri-opératoire. Le protocole consiste en 4 cycles pré-opératoires + chirurgie + 4 cycles post-opératoires. En cas d'adénocarcinome gastro-œsophagien HER2+ résécable, l'ajout de Trastuzumab + Pertuzumab au FLOT améliore le taux de réponse pathologique complète (35 % vs 12 %).",traitement,estomac,localisé,péri-opératoire,FLOT|ECF|péri-opératoire|Docétaxel|Oxaliplatine|5-FU|HER2|estomac|MAGIC,FLOT × 4 cycles pré-op + chirurgie + FLOT × 4 cycles post-op,FLOT : Docétaxel 50 mg/m² J1 + Oxaliplatine 85 mg/m² J1 + Acide folinique 200 mg/m² J1 + 5-FU 2600 mg/m² en perfusion continue 24h J1 q14j. ECF (alternative) : Épirubicine 50 mg/m² J1 + Cisplatine 60 mg/m² J1 + 5-FU 200 mg/m²/j en perfusion continue × 21j q21j. Si HER2+ : FLOT + Trastuzumab 8 mg/kg C1 puis 6 mg/kg q21j + Pertuzumab.,"FLOT : neutropénie fébrile (G-CSF recommandé), neuropathie, diarrhée, stomatite","Abderrahim, 62 ans, adénocarcinome gastrique cT3N2M0 (stade IIIA) résécable. Profil HER2 négatif, RAS non évalué. Plan FLOT péri-opératoire : 4 cycles pré-op. Chirurgie (gastrectomie totale D2) à semaine 10. FLOT × 4 cycles post-op. G-CSF prophylaxie primaire obligatoire (risque NF > 20%).","Guide AMFROM 2024, Cancers Digestifs, Section III.B.1, p.102-104"
ESTOMAC-META-001,Cancer de l'estomac métastatique — 1ère et 2ème ligne,"En 1ère ligne métastatique, la stratégie dépend du statut HER2. Pour les patients HER2+ (15 % des cas) : 5-FU/Capécitabine + Cisplatine + Trastuzumab (étude ToGA) est le standard. Ou FOLFOX + Trastuzumab. Pour les patients non-HER2+ (et PD-L1 CPS ≥ 5) : Nivolumab + chimiothérapie (FOLFOX ou XELOX) améliore la survie globale (CheckMate 649). En 2ème ligne : Ramucirumab + Paclitaxel est le standard (étude RAINBOW — médiane SG 9,6 mois vs 7,4 mois). En l'absence de neuropathie : Ramucirumab + Paclitaxel 80 mg/m² J1,J8,J15 q28j.",traitement,estomac,métastatique,1ère-2ème ligne,HER2|Trastuzumab|ToGA|Nivolumab|Ramucirumab|Paclitaxel|FOLFOX|CheckMate649|PD-L1|CPS,HER2+ : Cisplatine/5FU + Trastuzumab | PD-L1+ : FOLFOX + Nivolumab | 2L : Ramucirumab + Paclitaxel,"1L HER2+ : 5-FU 800 mg/m² J1-J5 OU Capécitabine 1 g/m² × 2/j J1-J14 + Cisplatine 80 mg/m² q21j + Trastuzumab 8 mg/kg C1 puis 6 mg/kg q21j jusqu'à progression. 1L PD-L1+ : Nivolumab 360 mg q21j + XELOX OU FOLFOX × 6-8 cycles puis Nivolumab. 2L : Ramucirumab 8 mg/kg J1,J15 + Paclitaxel 80 mg/m² J1,J8,J15 q28j. Option 2L : Docétaxel 75 mg/m² q21j OU Irinotécan 350 mg/m² q21j OU FOLFIRI.","Cardiotoxicité (Trastuzumab), HTA + thrombose (Ramucirumab), neuropathie (Paclitaxel)","Brahim, 58 ans, adénocarcinome gastrique HER2+ CPS = 8, métastases hépatiques et péritonéales. 1ère ligne : Capécitabine + Cisplatine + Trastuzumab. Réponse partielle 6 mois. Progression → 2ème ligne : Ramucirumab 8 mg/kg J1,J15 + Paclitaxel 80 mg/m² J1,J8,J15.","Guide AMFROM 2024, Cancers Digestifs, Section III.B.2, p.108-109"
PANCREAS-001,Cancer du pancréas localisé résécable — Chimiothérapie adjuvante,"Après résection pancréatique pour cancer, une chimiothérapie adjuvante est indiquée. Le FOLFIRINOX modifié pendant 6 mois (12 cycles) a montré sa supériorité sur la Gemcitabine seule dans l'étude de phase III PRODIGE 24 (SG médiane 54,4 vs 35 mois, HR 0,64) chez les patients OMS 0-1, sans diarrhée majeure ni contre-indication cardiaque au 5-FU. En cas de mutation germinale BRCA1/2 : l'Olaparib en maintenance après 4 mois de chimiothérapie à base de platine améliore la SSP (étude POLO, HR 0,53). L'Olaparib n'a pas encore l'AMM au Maroc dans cette indication.",traitement,pancreas,localisé,adjuvant,pancréas|FOLFIRINOX|PRODIGE24|Gemcitabine|adjuvant|BRCA|Olaparib|POLO,mFOLFIRINOX × 12 cycles (6 mois) | Alternative : Gemcitabine,"mFOLFIRINOX (modifié, sans 5-FU bolus) : Oxaliplatine 85 mg/m² J1 + Irinotécan 150 mg/m² J1 + AF 400 mg/m² J1 + 5-FU 2400 mg/m² 46h q14j × 12 cycles. Gemcitabine (alternative ou OMS 2) : 1000 mg/m² J1,J8,J15 q28j × 6 cycles. Olaparib maintenance (BRCA muté, après platine) : 300 mg × 2/j en continu.","FOLFIRINOX : neurotoxicité, diarrhée, alopécie, fatigue. G-CSF recommandé (risque NF > 20%)","Driss, 55 ans, OMS 1, adénocarcinome de la tête du pancréas, résection R0 (Whipple). Pas de mutation BRCA. Adjuvant : mFOLFIRINOX × 12 cycles. À cycle 6 : neuropathie grade 2 → réduction Oxaliplatine à 65 mg/m².","Guide AMFROM 2024, Cancers Digestifs, Section III.E.1, p.124-126"
CHC-001,Carcinome hépato-cellulaire avancé — 1ère ligne,"Le carcinome hépato-cellulaire (CHC) est une pathologie chimiorésistante : aucune chimiothérapie conventionnelle n'a démontré de bénéfice en survie. Le Sorafénib (anti-VEGFR, anti-PDGFR, anti-BRAF) a été le premier standard (étude SHARP, SG 10,7 vs 7,9 mois) chez les patients Child-Pugh A, OMS 0-2, non éligibles à un traitement curatif. L'association Atézolizumab + Bévacizumab (IMbrave150) a montré une supériorité en survie globale (19,2 vs 13,4 mois, HR 0,66) et est désormais le standard en 1ère ligne (en attente AMM Marocaine). Un bilan endoscopique et traitement préventif des varices œsophagiennes sont obligatoires avant l'instauration du Bévacizumab.",traitement,hepato_cellulaire,avancé,1ère ligne,CHC|hépatocarcinome|Sorafénib|SHARP|Atézolizumab|Bévacizumab|IMbrave150|Child-Pugh|VEGFR,Atézolizumab + Bévacizumab q21j | Alternative : Sorafénib 800 mg/j | Option : Lénvatinib,"1ère ligne préférentielle : Atézolizumab 1200 mg + Bévacizumab 15 mg/kg q21j (en attente AMM Marocaine). Sorafénib : 800 mg/j en 2 prises (2 cp de 200 mg × 2/j) en continu, si contre-indication à l'association Atézolizumab-Bévacizumab. Lénvatinib : 12 mg/j si poids ≥ 60 kg OU 8 mg/j si poids < 60 kg en continu. 2ème ligne (post-Sorafénib) : Regorafénib 160 mg/j J1-J21 q28j OU Cabozantinib 60 mg/j OU Ramucirumab (si AFP ≥ 400 ng/ml).","Sorafénib : HTA, syndrome main-pied, diarrhée. Bévacizumab : risque saignement varices +++","Said, 65 ans, CHC sur cirrhose Child-Pugh A, BCLC stade B-C, non éligible à la chimio-embolisation (atteinte bilobaire). Endoscopie digestive : varices grade II ligaturées. Délai 4 semaines. Traitement : Atézolizumab + Bévacizumab q21j. Surveillance : bilan hépatique, PA mensuelle.","Guide AMFROM 2024, Cancers Digestifs, Section III.G, p.138-140"
POUMON-CPNPC-ADJ-001,CPNPC localisé — Chimiothérapie adjuvante et immunothérapie,La chimiothérapie adjuvante à base de Cisplatine est un standard thérapeutique dans les CPNPC stades II et III (méta-analyse LACE). L'association Cisplatine-Vinorelbine est la plus efficace en adjuvant. En cas de mutation EGFR (stades IB-IIIA) : l'Osimertinib 80 mg/j pendant 3 ans après chirurgie et chimiothérapie adjuvante améliore significativement la survie sans récidive (ADAURA). En cas de réarrangement ALK et résection chirurgicale : l'Alectinib en adjuvant est une option validée par ALINA. L'immunothérapie péri-opératoire (Nivolumab/Durvalumab/Pembrolizumab) a démontré un bénéfice mais n'a pas l'AMM au Maroc.,traitement,poumon_CPNPC,localisé,adjuvant,CPNPC|Cisplatine|Vinorelbine|adjuvant|EGFR|Osimertinib|ADAURA|ALK|Alectinib|LACE,Vinorelbine + Cisplatine × 4 cycles | Si EGFR muté : + Osimertinib 3 ans | Si ALK+ : Alectinib,"Vinorelbine 25 mg/m² J1,J8 + Cisplatine 80 mg/m² J1 q21j × 4 cycles. Option fragile : Paclitaxel 220 mg/m² + Carboplatine AUC6 q21j × 4 cycles. Option non-épidermoïde : Cisplatine 75 mg/m² + Pémétrexed 500 mg/m² q21j × 4 cycles. Osimertinib (EGFR muté, stade IB-IIIA) : 80 mg/j en continu × 3 ans. Atézolizumab adjuvant (non-épidermoïde, PD-L1+ ≥ 1%) : 1200 mg q21j × 16 cycles (si AMM).","Neuropathie (Cisplatine), neutropénie (Vinorelbine), dermatite (Osimertinib), pneumopathie interstitielle (rash EGFR-inhibiteurs)","Omar, 58 ans, adénocarcinome pulmonaire résécable pT2bN1M0 (stade IIB), mutation EGFR exon 19 del. Lobectomie droite. Adjuvant : Cisplatine + Pémétrexed × 4 cycles. Puis Osimertinib 80 mg/j × 3 ans. Surveillance TDM thoracique q6 mois.","Guide AMFROM 2024, Cancers Pulmonaires, Section IV.A.1, p.150-152"
POUMON-CPNPC-META-001,CPNPC métastatique — Sans altération moléculaire actionnable,"En l'absence d'altération moléculaire actionnable (EGFR, ALK, ROS1, BRAF), le traitement dépend du score PD-L1. Si PD-L1 TPS ≥ 50 % : Pembrolizumab en monothérapie est le standard (KEYNOTE-024 — SG médiane 26,3 mois vs 14,2 mois). Si PD-L1 TPS 1-49 % ou < 1 % : chimiothérapie à base de platine + Pembrolizumab est recommandée. L'association Nivolumab + Ipilimumab (CheckMate 227) est une alternative mais ces molécules ne sont pas disponibles au Maroc. La chimiothérapie seule (Cisplatine + Paclitaxel/Pémétrexed/Gemcitabine) reste une option si immunothérapie non disponible.",traitement,poumon_CPNPC,métastatique,1ère ligne,CPNPC|PD-L1|Pembrolizumab|KEYNOTE-024|Carboplatine|Paclitaxel|Pémétrexed|immunothérapie,PD-L1 ≥ 50% : Pembrolizumab mono | PD-L1 < 50% : CT + Pembrolizumab,Pembrolizumab mono (TPS ≥ 50%) : 200 mg q21j jusqu'à progression ou 2 ans. CT + Pembrolizumab : Carboplatine AUC5 + Paclitaxel 175-200 mg/m² q21j × 4-6 cycles + Pembrolizumab 200 mg q21j puis maintenance Pembrolizumab. Non-épidermoïde : Carboplatine AUC5 + Pémétrexed 500 mg/m² q21j + Pembrolizumab × 4 cycles puis maintenance Pémétrexed + Pembrolizumab. CT seule : Cisplatine 75 mg/m² + Pémétrexed 500 mg/m² OU Gemcitabine 1250 mg/m² q21j.,"Pembrolizumab : pneumopathie, thyroïdite, colite auto-immune, hépatite. Pémétrexed : mucite (acide folique + vit B12 obligatoires)","Youssef, 68 ans, adénocarcinome pulmonaire stade IV non épidermoïde, PD-L1 TPS 70%, pas d'altération EGFR/ALK/ROS1/BRAF. 1ère ligne : Pembrolizumab 200 mg q21j en monothérapie. Réponse partielle à 3 mois. IRM cérébrale de surveillance q6 mois.","Guide AMFROM 2024, Cancers Pulmonaires, Section IV.A.2, p.153-158"
POUMON-CPNPC-EGFR-001,CPNPC métastatique — Mutation EGFR : traitement par ITK,"En cas de mutation EGFR (exons 18-21), les inhibiteurs de tyrosine kinase (ITK) sont le traitement de 1ère ligne standard, supérieurs à la chimiothérapie. L'Osimertinib (3ème génération) est le standard actuel en 1ère ligne (FLAURA — SG médiane 38,6 vs 31,8 mois) car il est efficace sur les mutations communes et résistantes (T790M) et pénètre dans le cerveau. Les ITK de 1ère/2ème génération (Géfitinib, Erlotinib, Afatinib) restent des options. En 2ème ligne après ITK de 1ère/2ème génération et mutation T790M : Osimertinib. En 3ème ligne ou après Osimertinib : chimiothérapie platine + Pémétrexed ou Amivantamab + Lazertinib (si available).",traitement,poumon_CPNPC,métastatique,1ère-3ème ligne EGFR,EGFR|Osimertinib|FLAURA|Géfitinib|Erlotinib|Afatinib|T790M|ITK|CPNPC|métastatique,1L : Osimertinib 80 mg/j | 2L (T790M) : Osimertinib | 3L : CT platine,Osimertinib 80 mg/j en continu (1ère ligne et 2ème ligne T790M+). Géfitinib 250 mg/j en continu (option 1ère ligne). Erlotinib 150 mg/j en continu (option 1ère ligne). Afatinib 40 mg/j en continu (option 1ère ligne — mutations non communes incluses). Après progression Osimertinib : Carboplatine AUC5 + Pémétrexed 500 mg/m² q21j ou analyser la mutation de résistance (NGS biopsie liquide).,"Rash acnéiforme, diarrhée, paronychia (all ITK). Osimertinib : QTc prolongation, cardiomyopathie rare","Rachida, 50 ans, non-fumeuse, adénocarcinome pulmonaire stade IV, mutation EGFR exon 21 L858R, métastases cérébrales asymptomatiques. 1ère ligne : Osimertinib 80 mg/j (pénétration cérébrale ++). Réponse cérébrale complète à 3 mois. TDM thoracique q3 mois, IRM cérébrale q6 mois.","Guide AMFROM 2024, Cancers Pulmonaires, Section IV.A.2, p.162"
POUMON-CPNPC-ALK-001,CPNPC métastatique — Réarrangement ALK : traitement par inhibiteurs ALK,"Le réarrangement ALK (5-7 % des CPNPC) est traité par les inhibiteurs de kinase ALK. L'Alectinib est le standard en 1ère ligne (ALEX — SG supérieure au Crizotinib, meilleure pénétration cérébrale, PFS médiane 34,8 mois). Le Brigatinib et le Lorlatinib (3ème génération) sont également actifs en 1ère ligne. En 2ème ligne après Crizotinib : Alectinib, Brigatinib ou Céritinib. En 3ème ligne ou résistance à l'Alectinib : Lorlatinib (actif sur toutes les mutations de résistance ALK connues).",traitement,poumon_CPNPC,métastatique,1ère-3ème ligne ALK,ALK|Alectinib|ALEX|Brigatinib|Lorlatinib|Céritinib|Crizotinib|CPNPC,1L : Alectinib 600 mg × 2/j | 2L (post-Crizotinib) : Alectinib/Brigatinib | 3L : Lorlatinib,"Alectinib 600 mg × 2/j per os en continu (avec nourriture). Brigatinib 90 mg/j × 7 jours puis 180 mg/j en continu. Lorlatinib 100 mg/j en continu. Céritinib 450 mg/j avec nourriture OU 750 mg/j à jeun. Crizotinib 250 mg × 2/j per os en continu (moins utilisé, 1ère génération).","Alectinib : myalgie, bradycardie, élévation CPK. Brigatinib : pneumopathie précoce (J1-J7 ++). Lorlatinib : hyperlipidémie, œdèmes","Amine, 38 ans, non-fumeur, CPNPC adénocarcinome stade IV, réarrangement ALK, PD-L1 0%. Métastases cérébrales multiples. 1ère ligne : Alectinib 600 mg × 2/j. Réponse cérébrale complète confirmée à 6 mois par IRM. Suivi tous les 3 mois.","Guide AMFROM 2024, Cancers Pulmonaires, Section IV.A.2, p.163"
POUMON-CPPC-001,CPPC — Maladie limitée et étendue : Protocoles standard,"Le cancer du poumon à petites cellules (CPPC) est très chimiosensible initialement mais rechute rapidement. Maladie limitée (stades I-III) : Chimiothérapie systémique × 4 cycles en association concomitante à une radiothérapie thoracique (débutée au 3ème cycle). Irradiation prophylactique encéphalique (IPC) discutée chez les répondeurs complets. Maladie étendue : Doublet étoposide-platine ± immunothérapie (Atézolizumab — IMpower133). L'Atézolizumab en association à Carboplatine + Étoposide améliore la SG vs chimiothérapie seule (SG médiane 12,3 vs 10,3 mois, HR 0,70). En 2ème ligne selon sensibilité : Topotécan (standard), Irinotécan, Vindésine + Irinotécan ou CAV (Cyclophosphamide + Doxorubicine + Vincristine).",traitement,poumon_CPPC,localisé_et_étendu,1ère-2ème ligne,CPPC|Étoposide|Cisplatine|Carboplatine|Atézolizumab|IMpower133|IPC|Topotécan|CAV,Maladie limitée : Cisplatine + Étoposide + RT | Maladie étendue : Carboplatine + Étoposide + Atézolizumab,"Maladie limitée : Cisplatine 80-100 mg/m² J1 + Étoposide 80-120 mg/m² J1-J3 q21j × 4 cycles (Carboplatine AUC5 si CI Cisplatine) + RT thoracique 45 Gy/30 fractions (débutée cycle 3). Maladie étendue : Carboplatine AUC5 J1 + Étoposide 100 mg/m² J1-J3 q21j × 4-6 cycles + Atézolizumab 1200 mg J1 q21j puis maintenance Atézolizumab. 2ème ligne sensible (> 6 mois) : Topotécan 1,5 mg/m²/j J1-J5 q21j. 2ème ligne résistant (< 3 mois) : CAV ou schémas alternatifs.","Myélosuppression sévère (CPPC très sensible), immunotoxicité (Atézolizumab), pneumopathie post-RT","Rachid, 55 ans, fumeur, CPPC maladie étendue, métastases hépatiques et surrénaliennes, OMS 1. 1ère ligne : Carboplatine AUC5 + Étoposide 100 mg/m² J1-J3 + Atézolizumab × 4 cycles. Réponse partielle à 3 cycles → maintenance Atézolizumab. Rechute à 8 mois (> 6 mois) → 2ème ligne : Topotécan 1,5 mg/m²/j J1-J5 q21j.","Guide AMFROM 2024, Cancers Pulmonaires, Section IV.B, p.165-168"
OVAIRE-ADV-001,Cancer de l'ovaire stades avancés — Chimiothérapie et maintenance,"Le cancer épithélial de l'ovaire est diagnostiqué à stade avancé (III-IV) dans 70 % des cas. La prise en charge repose sur la chirurgie de cytoréduction maximale (objectif : résidu nul ou < 1 cm) et la chimiothérapie par Carboplatine + Paclitaxel × 6 cycles. En maintenance, selon le profil moléculaire : Si mutation BRCA1/2 ou HRD positive : Olaparib 300 mg × 2/j (SOLO1 — réduction rechute 70 %) ou Niraparib (PRIMA). Si HRD négative ou non testée : Bévacizumab en association à la CT puis en maintenance. L'association Olaparib + Bévacizumab est une option si BRCA muté ou HRD+ (PAOLA-1).",traitement,ovaire,avancé,1ère ligne,ovaire|Carboplatine|Paclitaxel|BRCA|HRD|Olaparib|SOLO1|Niraparib|PRIMA|Bévacizumab|PAOLA-1,Carboplatine + Paclitaxel × 6 cycles + maintenance Olaparib (BRCA/HRD+) ou Bévacizumab,"CT standard : Paclitaxel 175 mg/m² J1 + Carboplatine AUC5-6 J1 q21j × 6 cycles. ± Bévacizumab 15 mg/kg J1 q21j dès cycle 2 puis maintenance × 12-15 mois. Maintenance Olaparib (BRCA muté) : 300 mg × 2/j en continu × 24 mois. Niraparib maintenance : 200 mg/j si poids < 77 kg et plaquettes < 150 000, sinon 300 mg/j. Veliparib (essai VELIA) : en association à CT puis maintenance (non standard).","Olaparib : anémie, thrombopénie, fatigue, nausées, MDS/LAM rare. Bévacizumab : HTA, fistule, thrombose","Amina, 52 ans, adénocarcinome séreux haut grade stade IIIC, cytoréduction complète. Mutation BRCA2 germinale. CT : Paclitaxel + Carboplatine + Bévacizumab × 6 cycles. Réponse complète → Maintenance : Olaparib 300 mg × 2/j + Bévacizumab × 15 mois. NFS mensuelle, surveillance PA bimensuelle.","Guide AMFROM 2024, Cancers Gynécologiques, Section II.A, p.57-62"
OVAIRE-RECHUTE-001,Cancer de l'ovaire en rechute — Platino-sensible et platino-résistante,"La rechute platino-sensible survient au-delà de 6 mois après la dernière ligne de chimiothérapie à base de platine : réintroduction d'un doublet à base de platine recommandée. La rechute platino-résistante survient avant 6 mois : plusieurs molécules actives ont été testées (Doxorubicine liposomale, Topotécan, Étoposide oral, Gemcitabine, Docétaxel, Vinorelbine). Le Bévacizumab est approuvé depuis 2014 dans les cancers épithéliaux récidivants résistants aux platines (en association à la chimiothérapie). En rechute sensible, Olaparib en maintenance si bonne réponse (SOLO2 — AMM Maroc).",traitement,ovaire,rechute,2ème ligne,rechute ovaire|platino-sensible|platino-résistante|Doxorubicine liposomale|Bévacizumab|Olaparib|SOLO2|Topotécan,"Sensible : re-platine ± Bévacizumab | Résistant : Doxo liposomale, Topotécan ± Bévacizumab","Rechute sensible (> 6 mois) : Carboplatine AUC5 + Paclitaxel 175 mg/m² q21j OU Carboplatine + Gemcitabine 1000 mg/m² J1,J8 q21j ± Bévacizumab 15 mg/kg. Rechute résistante (< 6 mois) : Doxorubicine liposomale 50 mg/m² q28j OU Topotécan 1,25 mg/m²/j J1-J5 q21j OU Gemcitabine 1000 mg/m² J1,J8 q21j + Bévacizumab 15 mg/kg q21j. Maintenance post-sensible si BRCA muté : Olaparib 300 mg × 2/j.","Doxo liposomale : syndrome main-pied, stomatite. Topotécan : myélosuppression sévère","Fatima, 60 ans, rechute d'un cancer de l'ovaire séreux 10 mois après fin de CT. Rechute platino-sensible → Carboplatine + Gemcitabine + Bévacizumab. Réponse partielle. Maintenance : Olaparib 300 mg × 2/j (BRCA1 muté, réponse au platine ++).","Guide AMFROM 2024, Cancers Gynécologiques, Section II.A.3, p.60-62"
COL-LOCAL-001,Cancer du col utérin localement avancé — Radio-chimiothérapie concomitante,"La radio-chimiothérapie concomitante (RCC) est le standard thérapeutique des cancers du col utérin localement avancés (stades IB2-IVA). Ceci est confirmé par plus de 15 essais randomisés et la méta-analyse de Green (19 essais, 4580 patientes). La chimiothérapie concomitante radio-sensibilisante est le Cisplatine. La RCC est supérieure à la radiothérapie seule avec un bénéfice absolu en SG de 6 %. Le schéma standard comprend une radiothérapie externe (45-50 Gy) suivie d'une curiethérapie utéro-vaginale avec Cisplatine hebdomadaire en concomitant. Une chimiothérapie d'induction par Gemcitabine + Cisplatine peut être proposée dans les formes localement avancées de stades IB3-IIB.",traitement,col_uterin,localement_avancé,curatif,col utérin|RCC|radio-chimiothérapie|Cisplatine|radiothérapie|curiethérapie|Gemcitabine,RT 45-50 Gy + Cisplatine hebdomadaire + Curiethérapie,"Cisplatine radio-sensibilisant : 40 mg/m² IV hebdomadaire × 5-6 semaines en concomitant à la RT externe 45-50 Gy/25-28 fractions + curiethérapie de haut débit. Induction (stades avancés) : Gemcitabine 1000 mg/m² J1,J8 + Cisplatine 40 mg/m² J1 q21j × 2-3 cycles avant la RCC. Après RCC et si indisponibilité du Cisplatine : Carboplatine AUC2 hebdomadaire.","Cystite radique, rectite radique, diarrhée, neutropénie, néphrotoxicité (Cisplatine — hydratation obligatoire)","Zineb, 42 ans, carcinome épidermoïde du col utérin stade IIB, non résécable, CPS = 5. Plan curatif : Cisplatine 40 mg/m² hebdomadaire × 6 + RT externe 45 Gy + curiethérapie HDR. Hydratation : 2L NaCl 0,9 % avant et après chaque Cisplatine. Réévaluation IRM pelvienne à 3 mois : réponse complète.","Guide AMFROM 2024, Cancers Gynécologiques, Section II.B.1, p.66"
